Player,Prop,PrizePicks_Line,Over_Odds,Under_Odds
Jordan Love,PASSING YARDS,229.5,-119,-115
Jordan Love,RUSHING YARDS,5.5,-121,-114
Jordan Love,PASS COMPLETIONS,19.5,-130,-117
Josh Jacobs,RECEPTIONS,1.5,-196,130
Josh Jacobs,RUSHING YARDS,76.5,-117,-115
Josh Jacobs,RECEPTIONS,2.5,150,-200
Jayden Reed,RECEPTIONS,2.5,-185,135
Jayden Reed,RUSHING YARDS,0.5,115,-150
Romeo Doubs,RECEPTIONS,3.5,-112,-125
Jayden Daniels,PASS ATTEMPTS,31.5,-130,-125
Jayden Daniels,PASSING YARDS,228.5,-115,-115
Jayden Daniels,RUSHING YARDS,46.5,-118,-113
Jayden Daniels,PASS COMPLETIONS,21.5,-115,-124
Jayden Daniels,RUSH ATTEMPTS,9.5,104,-143
Austin Ekeler,RECEPTIONS,3.5,110,-170
Austin Ekeler,RUSHING YARDS,22.5,-108,-135
Zach Ertz,RECEPTIONS,3.5,-135,-106
Dontayvion Wicks,RECEPTIONS,1.5,-152,105
Terry McLaurin,RECEPTIONS,4.5,100,-143
Tucker Kraft,RECEPTIONS,3.5,-140,-115
Noah Brown,RECEPTIONS,1.5,-200,150
Noah Brown,RECEPTIONS,2.5,134,-185
Brandon McManus,KICKING POINTS,7.5,-110,-127
Matthew Golden,RECEPTIONS,2.5,-170,115
Jacory Croskey-Merritt,RUSHING YARDS,40.5,-113,-111
Jacory Croskey-Merritt,RUSH ATTEMPTS,9.5,-130,-121
Matt Gay,KICKING POINTS,6.5,-131,-110
D'Andre Swift,RECEIVING YARDS,16.5,-120,-108
Olamide Zaccheaus,RECEIVING YARDS,23.5,-115,-109
Aaron Jones,RECEIVING YARDS,18.5,-113,-111
Jalen Nailor,RECEIVING YARDS,19.5,-110,-118
