player,team,prop,pp_line,projection_id,kickoff,player_clean,prop_clean
Caleb Williams,CHI,Pass Yards,218.5,6493009,2025-09-08T20:16:00-04:00,CALEB WILLIAMS,PASSING YARDS
Travis Kelce,KC,Receiving Yards,47.5,6462978,2025-09-14T16:25:00-04:00,TRAVIS KELCE,RECEPTIONSEIVING YARDS
Roschon Johnson,CHI,Rush+Rec TDs,0.5,5650712,2025-09-08T20:15:00-04:00,ROSCHON JOHNSON,RUSH+RECEPTIONS TDS
D.J. Moore + T.J. Hockenson,CHI/MIN,Rush+Rec TDs (Combo),0.5,6491604,2025-09-08T20:15:00-04:00,DJ MOORE + TJ HOCKENSON,RUSH+RECEPTIONS TDS (COMBO)
Caleb Williams,CHI,Rush+Rec TDs,0.5,5650698,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSH+RECEPTIONS TDS
Caleb Williams,CHI,Pass TDs,1.5,6067930,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASS TDS
Caleb Williams,CHI,Pass Yards,218.5,6067931,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASSING YARDS
Caleb Williams,CHI,Rush Yards,19.5,6067932,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSHING YARDS
Caleb Williams,CHI,Rush Yards,23.5,6067933,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSHING YARDS
Caleb Williams,CHI,Rush Yards,49.5,6067934,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSHING YARDS
Caleb Williams,CHI,Rush Yards,39.5,6067935,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSHING YARDS
Caleb Williams,CHI,Rush Yards,29.5,6067936,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,RUSHING YARDS
Caleb Williams,CHI,Pass TDs,0.5,6228076,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASS TDS
Caleb Williams,CHI,Pass TDs,2.5,6228077,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASS TDS
Caleb Williams,CHI,Pass Yards,179.5,6248407,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASSING YARDS
Caleb Williams,CHI,Pass Yards,189.5,6248408,2025-09-08T20:15:00-04:00,CALEB WILLIAMS,PASSING YARDS
